Date,_GSPC
2015-03-26,0.9113179876243657
2015-03-27,0.9131262827329784
2015-03-30,0.9217007895036243
2015-03-31,0.9120798920146109
2015-04-01,0.9071797028002986
2015-04-02,0.9079841321790426
2015-04-06,0.9080966332105904
2015-04-07,0.9054146589985624
2015-04-08,0.9056285864534067
2015-04-09,0.9052402876891809
2015-04-10,0.9041333687520553
2015-04-13,0.9025668905591218
2015-04-14,0.9010293024403977
2015-04-15,0.900922741641457
2015-04-16,0.9009138513359208
2015-04-17,0.9010455460042985
2015-04-20,0.8926934591681205
2015-04-21,0.8891946857644589
2015-04-22,0.8894827285242265
2015-04-23,0.8880943664480502
2015-04-24,0.8882264103583893
2015-04-27,0.8884423107988353
2015-04-28,0.8903766637159075
2015-04-29,0.892321119803023
2015-04-30,0.8921440431716082
2015-05-01,0.8856703772239011
2015-05-04,0.8788000951814384
2015-05-05,0.8817348495317253
2015-05-06,0.8729940197785094
2015-05-07,0.8884939763216999
2015-05-08,0.888859831548108
2015-05-11,0.8959267341564005
2015-05-12,0.8969363711210154
2015-05-13,0.9014707244369703
2015-05-14,0.9274570835620536
2015-05-15,0.9600589274138884
2015-05-18,0.96148340582155
2015-05-19,0.9618631507910541
2015-05-20,0.9619840641300877
2015-05-21,0.9618908831446416
2015-05-22,0.9622898230269139
2015-05-26,0.9618649483028892
2015-05-27,0.9552995864225615
2015-05-28,0.9578112541052106
2015-05-29,0.9576516634777467
2015-06-01,0.9825648490152024
2015-06-02,0.9898576550191104
2015-06-03,1.0
2015-06-04,1.0
2015-06-05,1.0
2015-06-08,1.0
2015-06-09,1.0
2015-06-10,1.0
2015-06-11,1.0
2015-06-12,1.0
2015-06-15,1.0
2015-06-16,1.0
2015-06-17,1.0
2015-06-18,1.0
2015-06-19,1.0
2015-06-22,1.0
2015-06-23,1.0
2015-06-24,1.0
2015-06-25,1.0
2015-06-26,1.0
2015-06-29,1.0
2015-06-30,1.0
2015-07-01,1.0
2015-07-02,1.0
2015-07-06,1.0
2015-07-07,1.0
2015-07-08,1.0
2015-07-09,1.0
2015-07-10,1.0
2015-07-13,1.0
2015-07-14,1.0
2015-07-15,1.0
2015-07-16,1.0
2015-07-17,1.0
2015-07-20,1.0
2015-07-21,1.0
2015-07-22,1.0
2015-07-23,1.0
2015-07-24,1.0
2015-07-27,1.0
2015-07-28,1.0
2015-07-29,1.0
2015-07-30,1.0
2015-07-31,1.0
2015-08-03,1.0
2015-08-04,1.0
2015-08-05,1.0
2015-08-06,1.0
2015-08-07,1.0
2015-08-10,1.0
2015-08-11,1.0
2015-08-12,1.0
2015-08-13,1.0
2015-08-14,1.0
2015-08-17,1.0
2015-08-18,1.0
2015-08-19,1.0
2015-08-20,1.0
2015-08-21,1.0
2015-08-24,1.0
2015-08-25,0.8877430157324018
2015-08-26,0.8791441541119316
2015-08-27,0.8019424944813252
2015-08-28,0.775848991550927
2015-08-31,0.7762065480623974
2015-09-01,0.7746485855222682
2015-09-02,0.7429804081101609
2015-09-03,0.7307818117660263
2015-09-04,0.7308493891668935
2015-09-08,0.724764269104653
