Date,RARP_RI,RP_naive,VT_naive
2014-01-06,-7.324865445984094e-05,-4.381440894196616e-05,-0.0001070723464860984
2014-01-07,0.0005355004447692415,0.00033707478501633333,0.0003504428359840426
2014-01-08,-0.0005177378656307454,-0.0004315020197554829,-0.00031834546420422393
2014-01-09,0.00014519298268631442,5.977306451688695e-05,-2.3884598622595508e-06
2014-01-10,0.0012993386216590221,0.0010946304833545318,0.000882486212266609
2014-01-13,-0.0006519381621350639,-7.150072422838378e-05,-0.0001714865074343014
2014-01-14,0.00025700521402093307,-0.00012266125944492242,4.555234354650486e-06
2014-01-15,0.0002953721575176773,5.1572356334049114e-05,8.5775925679635e-05
2014-01-16,0.00019020510869419767,0.00015346075504765,0.00010184605867185932
2014-01-17,-1.3951315631759995e-05,5.4688314957862724e-05,-4.8481131222509034e-05
2014-01-21,1.707456271039207e-05,-2.5001226818791695e-05,5.6615696032377146e-05
2014-01-22,-0.00025687776907369506,-0.00022980943946617033,-0.00016542598143104242
2014-01-23,0.0005395158591028578,0.0006563082940283555,0.0004220670480511225
2014-01-24,-0.000990464183296762,-0.0004032357334309301,-0.0005198399872489808
2014-01-27,-0.0007833695459466252,-0.0005517521748246806,-0.0004472356573776092
2014-01-28,0.0005394094046401632,0.00022969020840077215,0.0002083946039589988
2014-01-29,0.0003877620684212376,0.0005380618411148817,0.00037687405689305746
2014-01-30,-5.7214106411932635e-05,-0.00029211336814634835,-0.00013786280918553579
2014-01-31,-0.00010012886580213058,-1.7815308527805725e-05,-0.00011197600305947871
2014-02-03,-0.0006733448459505148,3.2905658197792037e-05,-0.0001383966135987984
2014-02-04,0.0002562064264803191,0.0001015298627053974,0.00017732319386346555
2014-02-05,-0.0005618037884449762,-0.0003925659902773989,-0.0003502082555443836
2014-02-06,0.0006749358253253042,0.00017258749588754487,0.00021793281205287723
2014-02-07,0.0014315849735054224,0.0007627961721787639,0.0006963275695922638
2014-02-10,0.000165621778240611,-9.912038432762414e-06,-3.3221806135619927e-05
2014-02-11,0.000556439993949859,0.00019900919870078206,0.00019916327452839498
2014-02-12,1.1435875255049225e-05,9.22095893574843e-05,9.308801248764444e-05
2014-02-13,0.0008784378281330824,0.000459756579572795,0.00045717083950115903
2014-02-14,0.0005704409800405396,0.00028687210812095633,0.0002856405344322285
2014-02-18,0.00012880227759565134,-4.0505325151715305e-05,-2.343775775565816e-05
2014-02-19,-0.0006681201002086199,-0.00025345326422301147,-0.0001735106772349894
2014-02-20,0.0005608393070612925,0.0002785066886021576,0.0002364424936999458
2014-02-21,-0.0001396380506146393,-0.000146603171472423,-0.00015990539385105448
2014-02-24,0.0007311498300655945,0.0004709767856609712,0.0004312424763125821
2014-02-25,0.0003095543914601299,0.00021218653189790306,0.00016749401130338788
2014-02-26,0.00012791968620966376,5.608799879719035e-05,1.0666790027417152e-05
2014-02-27,0.0002792869705537896,5.888574328909336e-06,-1.2157974986784829e-05
2014-02-28,0.00013056018628042996,0.00011221336526766374,0.0001262964985153778
2014-03-03,0.0005501352388031063,0.000492359687578232,0.0004271731279962999
2014-03-04,-0.0004112051448485695,-0.0005782457358732963,-0.0004674834171362493
2014-03-05,0.00033146728297471116,0.0003066892401075514,0.00028476667825664203
2014-03-06,-3.476811025080728e-05,-3.2721292756175056e-05,-1.1223345019650122e-05
2014-03-07,-0.0006918408289290181,-0.0006367747910463973,-0.0005220511543973221
2014-03-10,7.199687895096538e-05,6.835355938727698e-05,4.7110179160075936e-05
2014-03-11,-2.140404495548182e-05,5.664738688555893e-05,2.853832947045632e-05
2014-03-12,0.0006779646977799688,0.0004337480411162196,0.00042970177790834863
2014-03-13,4.7434263789193187e-07,0.00013745836312552208,7.406089049501473e-05
2014-03-14,3.440857154404732e-05,6.562978421466428e-05,5.2179466093941535e-05
2014-03-17,-0.00015483198046047954,-0.0002180458091455318,-0.000168858962163652
2014-03-18,0.0003709877729072067,0.00011073678223713376,0.00015406236279938353
2014-03-19,-0.001249466340494032,-0.0009031016333748746,-0.0006468180176195233
2014-03-20,8.722172005054703e-05,-8.514082407826377e-05,-7.888266038193743e-05
2014-03-21,0.0002335195648804109,0.00031626907179257036,0.0002611376757901131
2014-03-24,-0.0005760592453937131,-0.00044472353118317877,-0.00035338006932483855
2014-03-25,0.00021396218860665858,8.48899754911478e-05,0.00010435144959147548
2014-03-26,-0.00036296822942811867,-0.00026262671250008374,-0.00029372410567785203
2014-03-27,-0.00014284548833266782,-9.205589549160346e-05,-0.000102187317990585
2014-03-28,-2.6417924118791867e-05,-6.949020419605128e-05,-4.908894962329531e-05
2014-03-31,0.000287083257438515,6.834646334166182e-05,7.373615526678844e-05
2014-04-01,0.00015607850667225751,6.890669048719841e-06,3.855552259870454e-05
2014-04-02,-9.049654573926977e-06,-3.4462288952416325e-05,-5.6718800140112134e-06
2014-04-03,7.427993184867162e-05,0.00012785806876474103,0.00013827203163672275
2014-04-04,3.070207464644703e-05,0.0001968066072180478,1.5657248542207244e-05
2014-04-07,-0.0004814777455788512,-0.00020468171887538935,-0.00022119367536046212
2014-04-08,0.0005013265449472844,0.00035902829930534234,0.00028901952772891493
2014-04-09,0.0006846815560630752,0.00024182671248246105,0.0002458364239000723
2014-04-10,-0.0007427037825467839,-7.913802749417777e-05,-0.00019305283296796368
2014-04-11,-0.00038701970283603563,-8.684371258920544e-05,-0.0001210409814491331
2014-04-14,0.0005487731598258967,0.0002254858307520386,0.00021560534636347762
2014-04-15,-5.050484658685077e-05,-0.0002188981395660583,-9.999488418800696e-05
2014-04-16,0.00031634146916879907,7.648663509480414e-05,0.00012937198336634544
2014-04-17,-0.0003089427809170277,-0.0001073884157266935,-0.00011604722400966236
2014-04-21,-0.00011305956169806498,-0.00020067286982526435,-0.00019804799996144885
2014-04-22,-9.074500449886337e-05,-0.00020419090925440512,-0.00019501847951385002
2014-04-23,0.0002553000889930524,0.00027080843505913747,0.0002576711783478597
